189	-4.13205  13.4604 0.771252	  0.944388 -0.0442758  -0.955454  -0.852352 -0.0904063   0.854488   0.702408  -0.431292  -0.388881   0.169044
192	-3.24966  19.5688  3.63123	  0.489464  0.0764093   0.486326   0.273566  -0.814848   -0.13354 -0.0357851   0.106223   -0.34143  -0.547372
226	-0.108509   10.2911   3.75297	-0.0262535   0.472183   0.547006   0.619006   0.925916   0.482458  -0.940886  -0.826409 -0.0763676   0.436199
229	0.707372  13.5431  2.07516	 0.968528 0.0750718  0.272564 -0.717869  0.975184  0.156013  0.476047 -0.371207  0.157548 0.0707208
233	-3.47439  5.83318 0.334239	 -0.15632  -0.47994  0.154418  0.286783  0.326922 -0.187553 -0.928859  0.178678 -0.890651  0.370347
251	-1.68007   2.9823 0.434823	0.0184095 -0.546839  0.171693 -0.825482 -0.419792 -0.108934 -0.483608  0.234773 -0.109934   0.34957
275	0.858862   14.922  3.79892	  0.901747 -0.0544072   0.466355  -0.782355 -0.0168586   0.134778   -0.30289   0.424487  -0.571156  -0.142559
285	-5.26373  11.5462  4.07175	-0.529223 -0.165898  -0.52311   0.99705  0.954455  0.795794  0.301849  0.604161 -0.386456  0.416842
321	-4.06324  9.96926  2.79395	  0.121663  -0.697701 -0.0107318  -0.948717   0.957559  0.0248443   0.294227   0.556386   0.789302   0.578873
322	-5.91718  10.0503  3.11015	-0.263404  -0.14825  0.480009 -0.741038  0.941419 -0.638511   0.91755  0.927547  0.339667  0.504161
331	 -5.65874 -0.221812  0.977359	 -0.372921  -0.232389  -0.275591   0.142657 -0.0831489   0.918033   0.855599  -0.554373   0.771446   0.860145
333	-1.40979   21.499  2.38849	 -0.795388   0.472763   0.148521   0.176801  -0.758839     0.7756   0.944412 -0.0344303 -0.0817431  -0.138737
337	-3.32956  19.2496  1.26946	-0.150985 -0.239448  0.305884 -0.431382 -0.410502  0.541223 -0.244189  0.381588  0.769753  0.396885
346	-2.31067  7.80436  3.07642	 -0.538912   0.939179 -0.0289906   -0.78009  -0.168884   0.503105 -0.0277033   0.939853   0.817772   -0.16483
377	-0.0568006     17.201    0.61333	 0.568992 -0.997484  0.170229 -0.528694 -0.792735  0.792076 -0.393831 -0.986474 0.0327893  0.709821
402	-1.35093  13.3078  1.01513	   0.299441   -0.266976 -0.00990885    0.981139    0.469097   0.0484805   -0.101318    0.457996    0.989811   -0.327363
404	-3.18419    13.85  3.34065	-0.0413483  -0.928209   0.190487  -0.413969  -0.161721  -0.510072   0.319055    0.82837  -0.528933  -0.211848
405	-2.46296   7.7279  3.12281	-0.133339 -0.957614  0.861787   0.68244 -0.169727 0.0519526  0.349148  0.320996  0.499283  0.749431
406	-4.02411  10.1909  1.83128	 -0.18036  0.902858 -0.698931 -0.527335 -0.859498  0.259721 -0.455544  0.330989  0.845752  0.382735
453	 -6.7243  14.0019 0.236818	 -0.392726   0.341782 -0.0774235  0.0674467   0.322636   -0.57119  -0.867183  -0.240172   0.554532   0.274679
477	-2.18721  16.6341  4.25553	 0.906963 -0.669358 0.0752866 -0.396006  0.186727 0.0878733  0.698024 -0.767612 -0.336127 -0.615916
478	-3.05136  11.9683  1.60837	 0.165984 -0.714991  0.503757  0.802579 -0.413575 -0.401238   0.23094  0.139862 -0.403314  0.838118
499	-2.14111  7.20365   1.6293	   0.87236  -0.425417   0.371344  -0.623066    0.15561 -0.0930542 -0.0853708  -0.210316   0.693174   0.295134
503	-5.06029 -1.78028  1.78907	   0.29975 -0.0932432   0.709146  -0.997917  -0.167481   0.171158  -0.275397   0.646693   0.976389  -0.948383
514	-2.70416 0.489485  2.30761	 0.415944 -0.793552 -0.875854 -0.454529 -0.929115 -0.510046  0.606485  0.817317  0.142564  0.187172
520	0.0777938   12.7041   2.93802	-0.292163 -0.870239  0.363799  0.371776  0.863985   0.41306  0.413762  0.135915  0.274392 -0.190288
539	-4.51288  7.03878  3.39768	 0.846372 0.0731449 -0.951799 -0.665444  0.482183 -0.334989  0.952538 -0.688376  0.229602  0.222713
544	-2.86753  9.32659  1.57804	 -0.117144  -0.295213   0.686816  -0.137568  -0.727208      0.987  -0.935279   0.338009  -0.434102 -0.0289121
555	-5.97011 -1.03842 0.421405	  0.285991   0.349291   0.311155  -0.969561 -0.0395061  -0.483023 0.00421429  -0.177247     0.7546  -0.353065
561	-5.07687  13.7007 0.805639	-0.901468 -0.321224  0.762173 -0.139413 -0.933921 -0.734849 -0.141754 -0.936109 -0.385877  0.688644
577	-6.29117 -2.58449 0.480796	 0.332789 -0.971058  0.532263  0.699824 -0.773615 -0.450667  0.779397  0.704055 -0.455899  0.571954
578	1.63294 6.32738 1.60878	-0.0117552   -0.22775   -0.28538   0.229583  -0.744161   0.503275  0.0797361  -0.946488 -0.0893854   0.163092
596	-1.50666   6.0092  1.43455	  0.054528  -0.489826   0.452922   0.133857 -0.0457281  -0.424836   0.676797  0.0767392   0.583197   0.904953
599	0.0751617   7.41179   1.39285	 -0.415667   0.256981     0.6962   0.149527   0.053151   0.980456  -0.145336 -0.0911871  -0.117177   0.533821
610	-2.44403 0.565062  3.68094	-0.194921 -0.218076  0.733377   0.67318  0.437774  0.443849  0.659527 -0.617563    0.1623 -0.441298
616	-6.53872  13.9263 0.767321	  0.825798   0.544241   0.520071   0.393325   -0.98472 -0.0257384  0.0265256     -0.627   0.251381 -0.0168152
622	0.22475  7.2706 3.89862	 -0.437378  -0.970712   0.447469 -0.0850171  -0.976981  0.0142802   0.648431    0.90451  -0.222876  -0.669304
631	-5.61074  4.29206 0.386588	  -0.806835   0.0299248   -0.664679   -0.036965    0.357343  -0.0920386   -0.261044  0.00946772 -0.00154781   -0.302784
669	0.750194  10.9353  0.19876	  0.483372   0.656269  -0.716335  -0.468197   0.183675   -0.65684 -0.0689257   0.944908  -0.237626  -0.320682
674	-2.49068  17.4436 0.376014	 0.854488 -0.774124  0.420991  0.731395 -0.417257 -0.484526  -0.71238  0.153539 -0.124107  0.247022
689	-5.9695 3.90114 3.62422	  0.868939  -0.460964  -0.495288 -0.0234739   0.727218   0.140046  -0.762902  -0.280592   0.901549   0.901555
725	-4.14345  6.58884  1.39149	-0.767085 -0.762353 -0.734667 -0.921648  0.273257  0.394304 -0.850749 -0.751703 -0.462407 -0.225304
726	-3.17057  3.63474  2.09218	 0.962113  0.510301  0.538267 -0.692595  0.265316  0.622516 -0.779403 -0.892818 -0.886755 -0.855216
750	-5.30795 0.164072 0.202817	-0.392994 -0.473673  0.514505  0.252788  0.203432  0.547629 -0.653064  0.753707  0.678124 -0.193348
769	-6.85157 -4.57324  3.12956	-0.917059  0.713679 -0.601605 -0.289701 -0.308414  0.347654  0.773289  0.551553  0.641881  0.138551
780	0.630433  14.8716 0.012556	-0.986888 -0.215834  -0.31828   0.13573  0.968484  0.550821  0.496299 -0.823003  0.278877  0.961912
805	-0.717331   4.04251   3.46928	 0.358625  0.773204  0.533827 -0.189146  -0.85142   0.77479 -0.201936  0.898915 -0.785281  0.228532
820	 -5.89242 -0.713486   2.01372	 -0.703679  0.0281582   0.717622  -0.469453   0.493584   -0.27851  -0.353201  -0.418663   0.327913 -0.0937847
826	-0.655439   17.5497    2.3132	  0.520775  -0.210085   0.222426   0.539881   0.942201  -0.437068 -0.0124431   -0.74071   0.769863   0.624211
830	-1.63571  21.5723  3.33068	  0.847817  -0.354454  -0.921268   0.709636   0.820626   0.175159  -0.892965    0.98546    -0.9085 -0.0294335
832	-2.99372  10.1594   2.9339	 0.669425  0.965574 -0.356171  0.665518  0.723327 -0.508353 -0.688937  0.802059 -0.798718 -0.868311
847	-0.591078   11.8112   1.60838	 0.117484  0.480253  0.366144   0.95388 -0.761578 -0.733749 -0.345913 -0.859124 -0.818209  0.193215
854	-1.65748  7.77508  0.79177	  0.630696   0.140317   0.396989  -0.766425  -0.113419   0.991225 -0.0418938  -0.124469   0.244966   0.945166
856	-3.72099  7.87817  2.03403	0.0172131  0.648521  0.409823 -0.612297 -0.543306 0.0405188   0.52802  0.853683  0.274094   -0.5854
858	-4.02886  6.77136   3.9654	  0.505766   0.228551  -0.159189  -0.116608   0.727327   0.858024  -0.468087    0.13715  -0.754273 -0.0113927
863	-7.01965 -3.25969   3.8215	 -0.246518   0.316082  -0.100492   0.422176 -0.0457827   0.996911  0.0794767  -0.229979  -0.131938   0.579069
869	-3.45437  18.1782 0.295476	 0.426482  0.762388 -0.766821 -0.549322 0.0158664 -0.768497  0.556423  -0.89786  0.826175 -0.892971
877	1.32296  12.661 2.69722	-0.698683  0.876748  0.746952 -0.954643 -0.131184 -0.989386  0.860171 -0.614945  0.406594  0.438314
916	-5.53732 0.568722  1.92917	  -0.354016    0.235827    0.240315   -0.389806    -0.68944   -0.502793    0.667206    0.272352    0.884415 -0.00677508
937	-1.61599  6.60953 0.237751	-0.490627 -0.618222 -0.522979 0.0607089  0.514029 -0.241998  0.143917 -0.239433 -0.278874  0.510661
953	-1.19147  14.0993  3.89014	 0.0364577   0.555652   0.767362  -0.606662  -0.121735 -0.0609784  -0.443177   0.756868  -0.674452    0.77702
966	-2.90277   18.485  1.39283	  0.704319   0.345159  0.0238279   0.561387   0.754055 -0.0416735  -0.728297 -0.0311136   0.726056  -0.582109
967	-0.292888   4.85078   2.30862	  0.209924 -0.0803279   0.416948   0.951345    0.10881   0.319688   0.554498  -0.358391  -0.745459  -0.432962
974	-4.89443 -1.32498 0.325843	-0.481639  0.753411 -0.775592 -0.907704  0.494264 -0.479463 -0.436654   0.45908  0.509917 -0.426881
993	0.869545  14.9271  3.50048	 -0.204167    0.95429  -0.485235   0.731808 -0.0896459   0.364398  -0.274497   0.146474   0.378063  -0.303513
1	0.115874  19.4143   3.6085	 0.271423  0.434594 -0.716795  0.213938 -0.967399 -0.514226 -0.725537  0.608353 -0.686642 -0.198111
450	2.56496 12.9647 2.83844	   0.437861    0.226384    0.663394   -0.570037    0.967678    0.514457 -0.00571609   -0.841966    0.862367    0.694664
495	1.20095 5.33785 3.51645	  0.230124   0.670537  -0.112265   0.448592  -0.477599  -0.655942   0.987854  -0.599509 -0.0770482    0.11251
585	0.217084   19.123  1.59549	-0.946435   0.62818 -0.120741  0.771118  0.268833  0.396329 -0.560216  -0.68318  0.259331 -0.886926
644	-0.520464    2.6263   3.07683	  -0.507558   -0.116429   -0.559142 9.65595e-05   -0.172068   -0.776583    0.837145   -0.910866    0.876236    0.424918
806	   2.4676   6.56093 0.0924585	    0.8396 -0.0115108  -0.542699  0.0880128  -0.685314  -0.338185   0.367926  -0.372283  0.0861604 -0.0940711
997	 2.90224  7.27401 0.241132	  0.957896  -0.947002 -0.0411545   0.833408  -0.436345 0.00909197   0.639122   -0.87136  -0.238784   0.629636
39	1.90928 10.0988 3.65531	 -0.533762   0.853152   0.102886    0.86684 -0.0111862   0.105137   0.878258   0.599291   0.628277   0.188995
205	0.413918  19.7907  2.32923	 -0.82374 -0.236689 -0.188512 -0.769172  0.497672  0.153202  0.190203 -0.671276  0.381834  0.115238
303	0.202079  3.42237  1.16566	  0.148815  -0.810304  -0.581444  -0.931634  -0.092654   0.538602   -0.43365 -0.0860901 -0.0283009  -0.388461
387	-0.0433395    2.59389    2.18274	 0.697444 -0.710744  0.545737  0.955667 -0.757362 -0.184818 0.0458717 -0.953967  0.629629  0.681943
