 -1.49215 -0.743943   1.87773	-1.24888 -0.59665  1.80157
1.57374 5.73936 1.48171	 1.4806  5.6811 1.46518
0.387522  9.53802  1.26903	0.167313  9.55205  1.27756
 1.86423  3.33113 0.844889	 1.82787  3.30857 0.827355
 2.37917  4.00602 0.271324	  2.3149    3.977 0.264383
1.27101 2.33911  1.2199	1.27654 2.33732 1.19147
 2.24826  5.22367 0.179338	 2.15704  5.17921 0.172842
-0.887179  -0.20472  0.612616	-0.714944 -0.109453  0.602268
0.262264  1.22571 0.829212	0.335313  1.25576 0.810391
-2.61249 -2.32453  1.47126	-2.25166  -2.0816  1.41317
 -2.7479 -2.47506 0.841646	-2.37526 -2.22431 0.819559
-1.94064 -1.66769 0.871744	-1.65492 -1.47966 0.848878
1.31957  7.4917 1.68677	1.18058 7.44282 1.67904
 -1.03154 -0.834629  0.789679	-0.850992 -0.728288  0.773569
 1.03362  1.89559 0.904747	 1.05567  1.90305 0.884813
-0.611731 -0.188382  0.968573	-0.467032 -0.108558   0.94487
0.788128  9.25601 0.422135	0.587291  9.24812 0.414996
1.31696   7.951 1.22203	1.16839 7.89946 1.21186
 2.03336  6.04576 0.848916	  1.9268  5.99706 0.836952
 -0.92952 -0.538903  0.925575	-0.759436 -0.443571  0.903341
-0.309773 0.0979447     1.919	-0.173391  0.183284   1.85341
-0.158929  0.437144   1.02206	-0.0513797   0.491914   0.996641
1.49378 3.79474 1.61185	1.46349 3.75818 1.57166
 1.7728 3.14608 1.43471	 1.7531 3.13501 1.39422
2.80736 4.34183 0.15973	 2.72299  4.32248 0.157145
0.829643  1.43509 0.611324	0.856077  1.43922 0.602748
-0.692213 -0.715836  0.966347	-0.574059  -0.66958   0.95213
-0.558013 -0.716819   1.27195	-0.433585 -0.654393   1.24584
 1.62831  2.38396 0.875546	 1.62002  2.38341 0.856898
-0.499658 -0.787364    1.9825	-0.353561 -0.690477    1.9232
 0.9636 1.46623 1.16065	0.99617 1.48493 1.13404
  2.36894   2.85385 0.0740595	  2.32758   2.84514 0.0740298
0.287033 -1.47177  0.62592	0.439639 -1.29623 0.610838
  0.258828 -0.0430644   0.244304	 0.371765 0.0478342  0.243312
0.652932 -1.29568  1.87147	0.790048 -1.10984  1.79912
 2.04061  1.75782 0.818763	  2.0343  1.78034 0.803308
 1.50406   1.1252 0.669175	 1.53062   1.1664 0.655671
 1.16946 0.521239 0.929555	 1.22667 0.591299 0.905664
0.497568 -1.06702  1.34238	 0.633775 -0.902995   1.29509
0.526205 -1.68587 0.585544	0.671516  -1.4984 0.572981
   0.859445    -1.28402 0.000986099	 0.970891  -1.13733 0.0126868
1.86233  2.9644 1.52909	1.83588 2.95513 1.49565
0.113889 -1.78038 0.555672	0.284636 -1.58524 0.543489
0.428742 0.202464  1.74666	0.539416 0.303333  1.68193
 2.25949  2.32124 0.339235	 2.23287  2.32506 0.335318
 0.867562 -0.664287   1.40534	 0.973051 -0.525531   1.35869
    0.819 -0.206126   1.53089	  0.915509 -0.0911352    1.47965
0.241947 -1.41046  1.78991	0.407479  -1.2127  1.71672
0.794119 -1.14907 0.612384	 0.910535 -0.996235  0.599277
0.592527 -1.17019  1.37809	0.726329  -1.0001  1.32959
1.44285 0.15434 1.67784	 1.50091 0.251165  1.62677
 2.17437  2.62069 0.142763	 2.14299  2.61547 0.141896
 1.60779 0.677913 0.957627	 1.64265 0.741012 0.935277
 0.918109 -0.970675  0.373882	  1.02142 -0.834148  0.370675
1.85923 1.93529 1.70345	1.85779 1.95847 1.66166
   1.5886 -0.948483   0.74955	  1.67509 -0.773714  0.728125
2.81533  1.9456 1.10959	2.78513 1.97092 1.09116
 1.93904 0.897708  1.30068	 1.95928 0.959987  1.26808
2.47403 2.06822 0.59564	  2.4502  2.08673 0.586017
2.29937 2.14853 1.80507	2.27453 2.16083 1.77382
 2.58941  1.28083 0.826088	 2.57995  1.32914 0.810601
 1.38396 -2.07818 0.582772	 1.51309 -1.81451 0.566976
   1.4153 -0.804496  0.564699	   1.5076 -0.637452  0.550483
-2.87288  7.58822 0.216127	-3.47418  7.71423 0.216695
2.15925  1.1438 1.85807	2.16357 1.19303 1.81549
 2.19457 -0.10745  1.80331	   2.22936 0.00732086    1.75123
 2.52565  2.04131 0.362039	 2.50138  2.06087 0.357457
 2.37009 0.484318  1.05481	 2.38566 0.568744  1.02987
  2.21842 -0.517669  0.820017	  2.26407 -0.375233   0.79924
 1.31235 -1.62764 0.973823	 1.43198 -1.40117  0.93985
  2.80056   1.64033 0.0454248	  2.77839   1.67579 0.0487319
 2.79958 -2.91903 0.751446	 2.87339 -2.57471 0.727392
3.02264 0.21372 1.88586	 3.02205 0.315541  1.83856
  3.0661 -3.73541  1.54006	 3.14046 -3.31613  1.47211
 2.90268 -1.13322 0.923911	   2.9351 -0.939089  0.897495
 3.36651 0.577697 0.750626	 3.34987 0.665003  0.73691
 2.51193 -2.46738 0.521405	  2.5927 -2.15655  0.50845
 3.01513 0.442374 0.612371	 3.01176 0.536411 0.601092
-3.76795  7.18657 0.834489	-4.32728  7.22913 0.869808
  3.28632  -2.10317 0.0698982	  3.32049  -1.83587 0.0796757
